,title,last_week,week_on_chart,url,num_of_artists,count_available_markets,disc_number,song_duration,popularity,track_num,total_track,release_date
0,BADAI TELAH BERLALU DISKORIA FEAT BCL,6.0,29.0,{'spotify': 'https://open.spotify.com/album/1p2jwOWf4I5rYGswXLKJR9'},3.0,184.0,1.0,295.542,72.0,1.0,1.0,2023-01-20
1,SEVEN JUNGKOOK FEAT. LATTO,1.0,11.0,{'spotify': 'https://open.spotify.com/album/53985D8g3JcGBoULSOYYKX'},2.0,184.0,1.0,184.4,96.0,2.0,3.0,2023-07-14
2,SUPERSHY NEWJEANS,2.0,13.0,{'spotify': 'https://open.spotify.com/album/5V729UqvhwNOcMejx0m55I'},1.0,184.0,1.0,154.666,91.0,2.0,2.0,2023-07-07
3,WHAT I WAS MADE FOR BILLIE EILISH,3.0,11.0,{'spotify': 'https://open.spotify.com/album/3AafSrFIbJPH6BJHiJm1Cd'},1.0,183.0,1.0,222.369,95.0,1.0,1.0,2023-07-13
4,IT GOES LIKE - NANANA PEGGY GOU,4.0,16.0,{'spotify': 'https://open.spotify.com/album/2LVDNOUUy2g8517ZEtQIcK'},1.0,184.0,1.0,231.545,91.0,1.0,1.0,2023-06-15
6,CINCIN HINDIA,9.0,8.0,{'spotify': 'https://open.spotify.com/album/4AdZV63ycxFLF6Hcol0QnB'},1.0,184.0,1.0,260.253,90.0,17.0,18.0,2016-11-24
7,DIE FOR YOU THE WEEKND FEAT. ARIANA GRANDE,5.0,32.0,{'spotify': 'https://open.spotify.com/album/7ivbFszr1TbVadj89BIy1y'},1.0,183.0,1.0,225.312,84.0,6.0,15.0,2023-04-07
8,ALWAYS DANIEL CAESAR,7.0,23.0,{'spotify': 'https://open.spotify.com/album/7qcSUc5Af63mhfTF60KTEA'},1.0,182.0,1.0,184.013,87.0,1.0,1.0,2023-04-14
9,CHEMICAL POST MALONE,8.0,9.0,{'spotify': 'https://open.spotify.com/album/6EejduBuRYb7rzJaD2YCqO'},1.0,183.0,1.0,171.655,88.0,1.0,1.0,2023-08-25
10,SINGLE SOON SELENA GOMEZ,16.0,7.0,{'spotify': 'https://open.spotify.com/album/7rItmPh0tZpMKcFXBScaU8'},1.0,183.0,1.0,220.75,87.0,1.0,1.0,2019-05-10
12,THOSE EYES NEW WEST,10.0,36.0,{'spotify': 'https://open.spotify.com/album/5letLUZIFsQikJYShfGNs4'},1.0,183.0,1.0,174.253,87.0,2.0,3.0,2023-02-24
13,HERE WITH ME D4VD,11.0,45.0,{'spotify': 'https://open.spotify.com/album/0bQ8NyqdTKKQpZHYhZqCUU'},2.0,184.0,1.0,190.464,80.0,1.0,1.0,2023-09-15
14,CUPID FIFTY FIFTY,12.0,25.0,{'spotify': 'https://open.spotify.com/album/4N1fROq2oeyLGAlQ1C1j18'},1.0,184.0,1.0,147.88,83.0,4.0,6.0,2023-07-21
15,SNOOZE SZA FEAT. JUSTIN BIEBER,18.0,5.0,{'spotify': 'https://open.spotify.com/album/1WVIJaAboRSwJOe4u0n0Q7'},1.0,182.0,1.0,212.784,81.0,10.0,12.0,2022-03-25
16,COOL WITH YOU NEW JEANS,14.0,9.0,{'spotify': 'https://open.spotify.com/album/3WDFtJW61DcXNnYzCjEjh6'},1.0,184.0,1.0,238.0,51.0,8.0,9.0,2023-06-28
17,LIMBO KESHI,15.0,25.0,{'spotify': 'https://open.spotify.com/album/5DvJgsMLbaR1HmAI6VhfcQ'},1.0,184.0,1.0,191.185,84.0,4.0,14.0,2023-08-18
18,NISCAYA BILAL INDRAJAYA,19.0,5.0,{'spotify': 'https://open.spotify.com/album/74aBi8IE2YGBM3BfmpX1R1'},2.0,183.0,1.0,156.436,79.0,1.0,1.0,2023-02-24
19,USED TO BE YOUNG MILEY CYRUS,21.0,7.0,{'spotify': 'https://open.spotify.com/album/2nLOHgzXzwFEpl62zAgCEC'},1.0,184.0,1.0,214.193,81.0,7.0,16.0,2022-01-06
20,MOONLIGHT KALI UCHIS,13.0,16.0,{'spotify': 'https://open.spotify.com/album/5UcGyEltve5psjxSRsHx8E'},1.0,146.0,1.0,156.391,84.0,1.0,10.0,2023-10-13
21,OUT OF TIME THE WEEKND,20.0,74.0,{'spotify': 'https://open.spotify.com/album/5CM66hwjlbZ06LhONWXOAs'},3.0,183.0,1.0,109.75,89.0,1.0,1.0,2023-06-23
22,RUSH TROYE SIVAN,17.0,11.0,{'spotify': 'https://open.spotify.com/album/7cCDE3ZZwmD94SKVKCLXAO'},1.0,184.0,1.0,320.0,81.0,1.0,1.0,2023-06-23
23,BARBIE WORLD NICKI MINAJ FEAT ICE SPICE,22.0,9.0,{'spotify': 'https://open.spotify.com/album/5Hmh6N8oisrcuZKa8EY5dn'},1.0,184.0,1.0,184.791,87.0,1.0,1.0,2022-12-06
24,RAYUAN PEREMPUAN GILA NADIN AMIZAH,0.0,1.0,{'spotify': 'https://open.spotify.com/album/54dZypaXHAIDzBe9ujAZ63'},1.0,183.0,1.0,231.75,97.0,1.0,1.0,2023-08-04
25,PEOPLE LIBIANCA,24.0,31.0,{'spotify': 'https://open.spotify.com/album/1nrVofqDRs7cpWXJ49qTnP'},1.0,183.0,1.0,153.946,91.0,2.0,23.0,2022-12-08
26,PAINT THE TOWN RED DOJA CAT,25.0,5.0,{'spotify': 'https://open.spotify.com/album/7tOUgcKglzk78d8hOIMWyr'},2.0,183.0,1.0,205.613,70.0,12.0,16.0,2023-07-28
27,KILL BILL SZA,26.0,42.0,{'spotify': 'https://open.spotify.com/album/18ogtNq9F7DmMkNYO6Xb4k'},1.0,183.0,1.0,172.964,98.0,1.0,1.0,2023-09-01
28,YOU AND I ANNE MARIE FEAT. KHALID,27.0,11.0,{'spotify': 'https://open.spotify.com/album/2Cn1d2KgbkAqbZCJ1RzdkA'},1.0,184.0,1.0,137.773,97.0,7.0,11.0,2023-09-15
29,STRANGERS KENYA GRACE,28.0,3.0,{'spotify': 'https://open.spotify.com/album/0Z1ebaoFTQDDzebTh3fD2P'},2.0,184.0,1.0,145.065,78.0,1.0,1.0,2023-07-07
30,MY LOVE MINE ALL MINE MITSKI,29.0,2.0,{'spotify': 'https://open.spotify.com/album/7bnqo1fdJU9nSfXQd3bSMe'},1.0,184.0,1.0,185.506,84.0,1.0,1.0,2022-12-19
31,DO IT LIKE THAT TOMORROW X TOGETHER FEAT. JONAS BROTHER,23.0,13.0,{'spotify': 'https://open.spotify.com/album/3NRNR4txhuRLhnQUUlqWXH'},1.0,183.0,1.0,255.998,72.0,3.0,5.0,2020-08-04
32,DITTO NEWJEANS,31.0,41.0,{'spotify': 'https://open.spotify.com/album/5UcGyEltve5psjxSRsHx8E'},1.0,146.0,1.0,198.448,82.0,7.0,10.0,2023-10-13
33,SEASONS WAVE TO EARTH,32.0,24.0,{'spotify': 'https://open.spotify.com/album/151w1FgRZfnKZA9FEcg9Z3'},1.0,183.0,1.0,200.69,93.0,3.0,13.0,2022-10-21
34,GOT ME STARTED TROYE SIVAN,33.0,2.0,{'spotify': 'https://open.spotify.com/album/0FAZO3IxiF6MvA1nCgcF5U'},1.0,184.0,1.0,226.827,0.0,1.0,2.0,2020-04-08
35,ANTI HERO TAYLOR SWIFT,34.0,50.0,{'spotify': 'https://open.spotify.com/album/5DvJgsMLbaR1HmAI6VhfcQ'},1.0,184.0,1.0,200.6,92.0,1.0,14.0,2023-08-18
36,FLOWERS JISOO,35.0,23.0,{'spotify': 'https://open.spotify.com/album/45ozep8uHHnj5CCittuyXj'},1.0,184.0,1.0,212.253,86.0,1.0,2.0,2023-01-02
37,FLOWERS MILEY CYRUS,30.0,38.0,{'spotify': 'https://open.spotify.com/album/5cH7FqB7JD5q1tJXJ7FHYu'},1.0,180.0,1.0,176.579,94.0,1.0,1.0,2023-05-25
38,OMG NEW JEANS,36.0,32.0,{'spotify': 'https://open.spotify.com/album/4mXHsCQ4aRccewmcKUxIBJ'},1.0,184.0,1.0,170.83,79.0,1.0,1.0,2023-05-12
39,DANCE THE NIGHT DUA LIPA,37.0,18.0,{'spotify': 'https://open.spotify.com/album/0fkX7I2PipiArw0mxPLFsY'},1.0,183.0,1.0,236.493,70.0,1.0,1.0,2022-04-22
